scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,40,5,True,6
baseline,N/A,9,0.6,5,40,6,True,6
baseline,N/A,9,0.6,5,40,7,True,6
baseline,N/A,9,0.6,5,40,8,True,6
baseline,N/A,9,0.6,5,41,0,True,4
baseline,N/A,9,0.6,5,41,1,True,4
baseline,N/A,9,0.6,5,41,2,True,4
baseline,N/A,9,0.6,5,41,3,True,4
baseline,N/A,9,0.6,5,41,4,True,4
baseline,N/A,9,0.6,5,41,5,True,4
baseline,N/A,9,0.6,5,41,6,True,4
baseline,N/A,9,0.6,5,41,7,True,4
baseline,N/A,9,0.6,5,41,8,True,4
baseline,N/A,9,0.6,5,42,0,True,12
baseline,N/A,9,0.6,5,42,1,True,12
baseline,N/A,9,0.6,5,42,2,True,12
baseline,N/A,9,0.6,5,42,3,True,12
baseline,N/A,9,0.6,5,42,4,True,12
baseline,N/A,9,0.6,5,42,5,True,12
baseline,N/A,9,0.6,5,42,6,True,12
baseline,N/A,9,0.6,5,42,7,True,12
baseline,N/A,9,0.6,5,42,8,True,12
baseline,N/A,9,0.6,5,43,0,True,6
baseline,N/A,9,0.6,5,43,1,True,6
baseline,N/A,9,0.6,5,43,2,True,7
baseline,N/A,9,0.6,5,43,3,True,7
baseline,N/A,9,0.6,5,43,4,True,6
baseline,N/A,9,0.6,5,43,5,True,6
baseline,N/A,9,0.6,5,43,6,True,7
baseline,N/A,9,0.6,5,43,7,True,6
baseline,N/A,9,0.6,5,43,8,True,7
baseline,N/A,9,0.6,5,44,0,True,1
baseline,N/A,9,0.6,5,44,1,True,1
baseline,N/A,9,0.6,5,44,2,True,4
baseline,N/A,9,0.6,5,44,3,True,1
baseline,N/A,9,0.6,5,44,4,True,4
baseline,N/A,9,0.6,5,44,5,True,1
baseline,N/A,9,0.6,5,44,6,True,1
baseline,N/A,9,0.6,5,44,7,True,4
baseline,N/A,9,0.6,5,44,8,True,1
baseline,N/A,9,0.6,5,45,0,True,67
baseline,N/A,9,0.6,5,45,1,True,67
baseline,N/A,9,0.6,5,45,2,True,67
baseline,N/A,9,0.6,5,45,3,True,67
baseline,N/A,9,0.6,5,45,4,True,67
baseline,N/A,9,0.6,5,45,5,True,67
baseline,N/A,9,0.6,5,45,6,True,67
baseline,N/A,9,0.6,5,45,7,True,67
baseline,N/A,9,0.6,5,45,8,True,67
baseline,N/A,9,0.6,5,46,0,True,9
baseline,N/A,9,0.6,5,46,1,True,9
baseline,N/A,9,0.6,5,46,2,True,9
baseline,N/A,9,0.6,5,46,3,True,9
baseline,N/A,9,0.6,5,46,4,True,9
baseline,N/A,9,0.6,5,46,5,True,9
baseline,N/A,9,0.6,5,46,6,True,9
baseline,N/A,9,0.6,5,46,7,True,9
baseline,N/A,9,0.6,5,46,8,True,9
baseline,N/A,9,0.6,5,47,0,True,11
baseline,N/A,9,0.6,5,47,1,True,12
baseline,N/A,9,0.6,5,47,2,True,12
baseline,N/A,9,0.6,5,47,3,True,12
baseline,N/A,9,0.6,5,47,4,True,11
baseline,N/A,9,0.6,5,47,5,True,11
baseline,N/A,9,0.6,5,47,6,True,11
baseline,N/A,9,0.6,5,47,7,True,11
baseline,N/A,9,0.6,5,47,8,True,11
baseline,N/A,9,0.6,5,48,0,True,8
baseline,N/A,9,0.6,5,48,1,True,8
baseline,N/A,9,0.6,5,48,2,True,10
baseline,N/A,9,0.6,5,48,3,True,9
baseline,N/A,9,0.6,5,48,4,True,10
baseline,N/A,9,0.6,5,48,5,True,10
baseline,N/A,9,0.6,5,48,6,True,10
baseline,N/A,9,0.6,5,48,7,True,9
baseline,N/A,9,0.6,5,48,8,True,8
baseline,N/A,9,0.6,5,49,0,True,1
baseline,N/A,9,0.6,5,49,1,True,1
baseline,N/A,9,0.6,5,49,2,True,1
baseline,N/A,9,0.6,5,49,3,True,1
baseline,N/A,9,0.6,5,49,4,True,1
baseline,N/A,9,0.6,5,49,5,True,1
baseline,N/A,9,0.6,5,49,6,True,1
baseline,N/A,9,0.6,5,49,7,True,1
baseline,N/A,9,0.6,5,49,8,True,1
baseline,N/A,9,0.6,5,50,0,True,44
baseline,N/A,9,0.6,5,50,1,True,44
baseline,N/A,9,0.6,5,50,2,True,44
baseline,N/A,9,0.6,5,50,3,True,44
baseline,N/A,9,0.6,5,50,4,True,44
baseline,N/A,9,0.6,5,50,5,True,44
baseline,N/A,9,0.6,5,50,6,True,44
baseline,N/A,9,0.6,5,50,7,True,44
baseline,N/A,9,0.6,5,50,8,True,44
baseline,N/A,9,0.6,5,51,0,True,25
baseline,N/A,9,0.6,5,51,1,True,25
baseline,N/A,9,0.6,5,51,2,True,25
baseline,N/A,9,0.6,5,51,3,True,25
baseline,N/A,9,0.6,5,51,4,True,25
baseline,N/A,9,0.6,5,51,5,True,25
baseline,N/A,9,0.6,5,51,6,True,25
baseline,N/A,9,0.6,5,51,7,True,25
baseline,N/A,9,0.6,5,51,8,True,25
baseline,N/A,9,0.6,5,52,0,True,13
baseline,N/A,9,0.6,5,52,1,True,13
baseline,N/A,9,0.6,5,52,2,True,13
baseline,N/A,9,0.6,5,52,3,True,13
baseline,N/A,9,0.6,5,52,4,True,13
baseline,N/A,9,0.6,5,52,5,True,13
baseline,N/A,9,0.6,5,52,6,True,13
baseline,N/A,9,0.6,5,52,7,True,13
baseline,N/A,9,0.6,5,52,8,True,13
baseline,N/A,9,0.6,5,53,0,True,3
baseline,N/A,9,0.6,5,53,1,True,1
baseline,N/A,9,0.6,5,53,2,True,1
baseline,N/A,9,0.6,5,53,3,True,1
baseline,N/A,9,0.6,5,53,4,True,3
baseline,N/A,9,0.6,5,53,5,True,3
baseline,N/A,9,0.6,5,53,6,True,1
baseline,N/A,9,0.6,5,53,7,True,3
baseline,N/A,9,0.6,5,53,8,True,1
baseline,N/A,9,0.6,5,54,0,False,6
baseline,N/A,9,0.6,5,54,1,False,6
baseline,N/A,9,0.6,5,54,2,False,6
baseline,N/A,9,0.6,5,54,3,False,6
baseline,N/A,9,0.6,5,54,4,False,6
baseline,N/A,9,0.6,5,54,5,False,6
baseline,N/A,9,0.6,5,54,6,False,6
baseline,N/A,9,0.6,5,54,7,False,6
baseline,N/A,9,0.6,5,54,8,False,6
baseline,N/A,9,0.6,5,55,0,True,1
baseline,N/A,9,0.6,5,55,1,True,1
baseline,N/A,9,0.6,5,55,2,True,1
baseline,N/A,9,0.6,5,55,3,True,1
baseline,N/A,9,0.6,5,55,4,True,1
baseline,N/A,9,0.6,5,55,5,True,1
baseline,N/A,9,0.6,5,55,6,True,1
baseline,N/A,9,0.6,5,55,7,True,1
baseline,N/A,9,0.6,5,55,8,True,1
baseline,N/A,9,0.6,5,56,0,True,15
baseline,N/A,9,0.6,5,56,1,True,15
baseline,N/A,9,0.6,5,56,2,True,15
baseline,N/A,9,0.6,5,56,3,True,15
baseline,N/A,9,0.6,5,56,4,True,15
baseline,N/A,9,0.6,5,56,5,True,15
