scenario,which_arm_restricted,num_agents,p,epsilon,sim_id,agent_id,was_correct,time_to_lock
restrict_dissemination,other,9,0.6,0.1,743,5,True,53
restrict_dissemination,other,9,0.6,0.1,743,6,True,1
restrict_dissemination,other,9,0.6,0.1,743,7,True,1
restrict_dissemination,other,9,0.6,0.1,743,8,True,1
restrict_dissemination,other,9,0.6,0.1,744,0,True,44
restrict_dissemination,other,9,0.6,0.1,744,1,True,98
restrict_dissemination,other,9,0.6,0.1,744,2,True,4
restrict_dissemination,other,9,0.6,0.1,744,3,True,70
restrict_dissemination,other,9,0.6,0.1,744,4,True,93
restrict_dissemination,other,9,0.6,0.1,744,5,True,16
restrict_dissemination,other,9,0.6,0.1,744,6,True,45
restrict_dissemination,other,9,0.6,0.1,744,7,True,44
restrict_dissemination,other,9,0.6,0.1,744,8,True,3
restrict_dissemination,other,9,0.6,0.1,745,0,True,42
restrict_dissemination,other,9,0.6,0.1,745,1,True,24
restrict_dissemination,other,9,0.6,0.1,745,2,True,41
restrict_dissemination,other,9,0.6,0.1,745,3,True,100
restrict_dissemination,other,9,0.6,0.1,745,4,True,24
restrict_dissemination,other,9,0.6,0.1,745,5,True,95
restrict_dissemination,other,9,0.6,0.1,745,6,True,42
restrict_dissemination,other,9,0.6,0.1,745,7,True,3
restrict_dissemination,other,9,0.6,0.1,745,8,True,12
restrict_dissemination,other,9,0.6,0.1,746,0,True,1
restrict_dissemination,other,9,0.6,0.1,746,1,True,29
restrict_dissemination,other,9,0.6,0.1,746,2,True,67
restrict_dissemination,other,9,0.6,0.1,746,3,True,1
restrict_dissemination,other,9,0.6,0.1,746,4,True,1
restrict_dissemination,other,9,0.6,0.1,746,5,True,94
restrict_dissemination,other,9,0.6,0.1,746,6,True,27
restrict_dissemination,other,9,0.6,0.1,746,7,True,28
restrict_dissemination,other,9,0.6,0.1,746,8,True,1
restrict_dissemination,target,9,0.6,0.1,747,0,True,4
restrict_dissemination,target,9,0.6,0.1,747,1,False,46
restrict_dissemination,target,9,0.6,0.1,747,2,True,58
restrict_dissemination,target,9,0.6,0.1,747,3,True,13
restrict_dissemination,target,9,0.6,0.1,747,4,True,101
restrict_dissemination,target,9,0.6,0.1,747,5,True,45
restrict_dissemination,target,9,0.6,0.1,747,6,True,1
restrict_dissemination,target,9,0.6,0.1,747,7,True,1
restrict_dissemination,target,9,0.6,0.1,747,8,False,87
restrict_dissemination,target,9,0.6,0.1,748,0,True,9
restrict_dissemination,target,9,0.6,0.1,748,1,False,57
restrict_dissemination,target,9,0.6,0.1,748,2,True,82
restrict_dissemination,target,9,0.6,0.1,748,3,True,7
restrict_dissemination,target,9,0.6,0.1,748,4,False,24
restrict_dissemination,target,9,0.6,0.1,748,5,True,21
restrict_dissemination,target,9,0.6,0.1,748,6,True,62
restrict_dissemination,target,9,0.6,0.1,748,7,True,32
restrict_dissemination,target,9,0.6,0.1,748,8,False,1
restrict_dissemination,target,9,0.6,0.1,749,0,True,1
restrict_dissemination,target,9,0.6,0.1,749,1,True,5
restrict_dissemination,target,9,0.6,0.1,749,2,False,1
restrict_dissemination,target,9,0.6,0.1,749,3,True,5
restrict_dissemination,target,9,0.6,0.1,749,4,True,1
restrict_dissemination,target,9,0.6,0.1,749,5,True,1
restrict_dissemination,target,9,0.6,0.1,749,6,True,55
restrict_dissemination,target,9,0.6,0.1,749,7,True,1
restrict_dissemination,target,9,0.6,0.1,749,8,True,4
restrict_dissemination,target,9,0.6,0.1,750,0,True,28
restrict_dissemination,target,9,0.6,0.1,750,1,True,16
restrict_dissemination,target,9,0.6,0.1,750,2,True,99
restrict_dissemination,target,9,0.6,0.1,750,3,True,88
restrict_dissemination,target,9,0.6,0.1,750,4,False,42
restrict_dissemination,target,9,0.6,0.1,750,5,False,13
restrict_dissemination,target,9,0.6,0.1,750,6,True,40
restrict_dissemination,target,9,0.6,0.1,750,7,False,1
restrict_dissemination,target,9,0.6,0.1,750,8,True,6
restrict_dissemination,other,9,0.6,0.1,751,0,True,9
restrict_dissemination,other,9,0.6,0.1,751,1,True,84
restrict_dissemination,other,9,0.6,0.1,751,2,True,88
restrict_dissemination,other,9,0.6,0.1,751,3,True,1
restrict_dissemination,other,9,0.6,0.1,751,4,True,47
restrict_dissemination,other,9,0.6,0.1,751,5,True,3
restrict_dissemination,other,9,0.6,0.1,751,6,True,44
restrict_dissemination,other,9,0.6,0.1,751,7,True,21
restrict_dissemination,other,9,0.6,0.1,751,8,False,38
restrict_dissemination,target,9,0.6,0.1,752,0,True,5
restrict_dissemination,target,9,0.6,0.1,752,1,True,32
