network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,3330,1000,0.673,6.73,16651910.57
complete,0.5,0.5001,10,0.1,3340,1000,0.679,6.79,16701914.868
complete,0.5,0.5001,10,0.1,3350,1000,0.676,6.76,16751924.665
complete,0.5,0.5001,10,0.1,3360,1000,0.675,6.75,16801929.185
complete,0.5,0.5001,10,0.1,3370,1000,0.67,6.7,16851931.045
complete,0.5,0.5001,10,0.1,3380,1000,0.666,6.66,16901931.392
complete,0.5,0.5001,10,0.1,3390,1000,0.674,6.74,16951950.385
complete,0.5,0.5001,10,0.1,3400,1000,0.674,6.74,17001955.667
complete,0.5,0.5001,10,0.1,3410,1000,0.671,6.71,17051958.827
complete,0.5,0.5001,10,0.1,3420,1000,0.674,6.74,17101963.083
complete,0.5,0.5001,10,0.1,3430,1000,0.671,6.71,17151961.494
complete,0.5,0.5001,10,0.1,3440,1000,0.668,6.68,17201961.027
complete,0.5,0.5001,10,0.1,3450,1000,0.676,6.76,17251967.134
complete,0.5,0.5001,10,0.1,3460,1000,0.674,6.74,17301972.237
complete,0.5,0.5001,10,0.1,3470,1000,0.674,6.74,17351976.992
complete,0.5,0.5001,10,0.1,3480,1000,0.674,6.74,17401974.56
complete,0.5,0.5001,10,0.1,3490,1000,0.676,6.76,17451981.749
complete,0.5,0.5001,10,0.1,3500,1000,0.678,6.78,17501987.6
complete,0.5,0.5001,10,0.1,3510,1000,0.677,6.77,17552000.237
complete,0.5,0.5001,10,0.1,3520,1000,0.681,6.81,17602013.394
complete,0.5,0.5001,10,0.1,3530,1000,0.678,6.78,17652014.956
complete,0.5,0.5001,10,0.1,3540,1000,0.678,6.78,17702019.916
complete,0.5,0.5001,10,0.1,3550,1000,0.676,6.76,17752035.626
complete,0.5,0.5001,10,0.1,3560,1000,0.679,6.79,17802044.428
complete,0.5,0.5001,10,0.1,3570,1000,0.677,6.77,17852050.259
complete,0.5,0.5001,10,0.1,3580,1000,0.682,6.82,17902050.317
complete,0.5,0.5001,10,0.1,3590,1000,0.684,6.84,17952060.415
complete,0.5,0.5001,10,0.1,3600,1000,0.687,6.87,18002071.208
complete,0.5,0.5001,10,0.1,3610,1000,0.687,6.87,18052072.476
complete,0.5,0.5001,10,0.1,3620,1000,0.682,6.82,18102072.251
